"sciname","StockCode","AgeMatMin","AgeMatMin2","tm"
"Cetengraulis mysticetus",564,NA,NA,NA
"Cetengraulis mysticetus",564,1,NA,NA
"Cetengraulis mysticetus",564,NA,NA,1
"Coilia dussumieri",641,0.5,0.58,NA
"Encrasicholina devisi",571,0.29,NA,NA
"Encrasicholina heteroloba",572,0.362,NA,NA
"Encrasicholina heteroloba",572,0.66,0.98,NA
"Encrasicholina heteroloba",572,NA,NA,NA
"Encrasicholina punctifer",574,NA,NA,NA
"Engraulis anchoita",1852,NA,NA,NA
"Engraulis anchoita",1852,NA,NA,NA
"Engraulis australis",1853,1,NA,NA
"Engraulis capensis",54912,NA,NA,1
"Engraulis encrasicolus",76,NA,NA,NA
"Engraulis encrasicolus",76,1,NA,NA
"Engraulis encrasicolus",76,1,NA,NA
"Engraulis encrasicolus",76,NA,NA,1
"Engraulis encrasicolus",76,NA,NA,1
"Engraulis encrasicolus",76,NA,NA,NA
"Engraulis encrasicolus",76,NA,NA,NA
"Engraulis encrasicolus",76,NA,NA,1
"Engraulis encrasicolus",76,NA,NA,NA
"Engraulis encrasicolus",76,NA,NA,NA
"Engraulis encrasicolus",76,NA,NA,1
"Engraulis encrasicolus",76,NA,NA,1
"Engraulis encrasicolus",76,NA,NA,NA
"Engraulis encrasicolus",76,NA,NA,NA
"Engraulis encrasicolus",76,NA,NA,NA
"Engraulis encrasicolus",76,NA,NA,1
"Engraulis encrasicolus",56724,NA,NA,NA
